Processing complete!
Files with errors: 2707

============================================================
TIME SIGNATURE STATISTICS:
============================================================
Total distinct time signatures found: 334
Total time signature annotations: 6,784,003,598

All time signatures found (sorted by frequency):
  193. 96/4    :        840 occurrences (  0.00%)
  194. 33/8    :        837 occurrences (  0.00%)
  195. 26/8    :        803 occurrences (  0.00%)
  196. 135/4   :        780 occurrences (  0.00%)
  197. 28/1    :        760 occurrences (  0.00%)
  198. 28/16   :        749 occurrences (  0.00%)
  199. 51/16   :        740 occurrences (  0.00%)
  200. 21/2    :        738 occurrences (  0.00%)
  201. 16/1    :        712 occurrences (  0.00%)
  202. 41/8    :        703 occurrences (  0.00%)
  203. 64/4    :        647 occurrences (  0.00%)
  204. 76/32   :        643 occurrences (  0.00%)
  205. 11/1    :        629 occurrences (  0.00%)
  206. 25/1    :        605 occurrences (  0.00%)
  207. 17/1    :        580 occurrences (  0.00%)
  208. 22/2    :        575 occurrences (  0.00%)
  209. 36/32   :        572 occurrences (  0.00%)
  210. 54/4    :        569 occurrences (  0.00%)
  211. 43/32   :        551 occurrences (  0.00%)
  212. 33/16   :        533 occurrences (  0.00%)
  213. 20/32   :        524 occurrences (  0.00%)
  214. 67/16   :        514 occurrences (  0.00%)
  215. 24/1    :        502 occurrences (  0.00%)
  216. 40/2    :        500 occurrences (  0.00%)
  217. 13/2    :        492 occurrences (  0.00%)
  218. 40/4    :        483 occurrences (  0.00%)
  219. 37/4    :        468 occurrences (  0.00%)
  220. 49/16   :        457 occurrences (  0.00%)
  221. 41/32   :        448 occurrences (  0.00%)
  222. 28/8    :        446 occurrences (  0.00%)
  223. 48/8    :        442 occurrences (  0.00%)
  224. 130/4   :        439 occurrences (  0.00%)
  225. 72/4    :        417 occurrences (  0.00%)
  226. 30/8    :        414 occurrences (  0.00%)
  227. 35/8    :        386 occurrences (  0.00%)
  228. 33/4    :        384 occurrences (  0.00%)
  229. 74/2    :        370 occurrences (  0.00%)
  230. 21/1    :        368 occurrences (  0.00%)
  231. 8/32    :        366 occurrences (  0.00%)
